Posicao,EMPRESA,SETOR,VENDAS LÍQUIDAS VALOR(EM R$ MILHÕES),VENDAS LÍQUIDAS VALOR(EM US$ MILHÕES),VENDAS LÍQUIDAS CRESCIMENTO(EM %),LUCRO LÍQUIDO AJUSTADO(EM US$ MILHÕES),LUCRO LÍQUIDO LEGAL(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO AJUSTADO(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO LEGAL(EM US$ MILHÕES),RENTABILIDADE AJUSTADA(EM %),RENTABILIDADE LEGAL(EM %),RENTABILIDADE SOBRE VENDAS(EM %),CAPITAL CIRCUL. LÍQUIDO(EM US$ MILHÕES),LIQUIDEZ GERAL(EM NO. ÍNDICE),ENDIVIDAMENTO GERAL(EM %),ENDIVIDAMENTO LONGO PRAZO(EM %),RIQUEZA CRIADA(EM US$ MILHÕES),NO. DE EMPREG.,RIQUEZA CRIADA POR EMPREG.(EM US$ MIL),SALÁRIOS E ENCARGOS(EM US$ MILHÕES),TRIBUTOS(EM US$ MILHÕES),EBITDA(EM US$ MILHÕES),EXPORTAÇÃO VALOR(EM US$ MILHÕES),EXPORTAÇÃO % DAS VENDAS,CONTROLE ACIONÁRIO,Ano
72,Ternium Brasil,Siderurgia e Metalurgia,9028.2,2239.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3733,NA,NA,NA,NA,1456.8,65,Ítalo-Argentino,2019
264,3M,Química e Petroquímica,2876.5,713.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3704,NA,123,NA,NA,62.8,8.8,Americano,2015
172,Eaton,Autoindústria,4214.7,1045.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700,NA,NA,NA,NA,NA,NA,Americano,2015
7,ADM,Bens de Consumo,46230.8,11469.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3610,NA,NA,NA,NA,NA,NA,Americano,2018
141,P&G Industrial,Bens de Consumo,5126.8,1271.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3564,NA,99.9,NA,NA,29.1,2.3,Americano,2018
63,Honda Automóveis,Autoindústria,10443.3,2590.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3504,NA,NA,NA,NA,85.2,3.3,Japonês,2015
93,Cnova,Varejo,7352.4,1824.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3394,NA,NA,NA,NA,NA,NA,Francês,2015
292,3M,Química e Petroquímica,2737.5,679.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3384,NA,92.4,NA,NA,66.6,9.8,Americano,2018
65,Honda Automóveis,Autoindústria,9791.4,2429.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3367,NA,NA,NA,NA,72.9,3,Japonês,2018
445,Valeo,Autoindústria,1791.6,444.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3355,NA,NA,NA,NA,63.8,14.3,Francês,2019
