Posicao,EMPRESA,SETOR,VENDAS LÍQUIDAS VALOR(EM R$ MILHÕES),VENDAS LÍQUIDAS VALOR(EM US$ MILHÕES),VENDAS LÍQUIDAS CRESCIMENTO(EM %),LUCRO LÍQUIDO AJUSTADO(EM US$ MILHÕES),LUCRO LÍQUIDO LEGAL(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO AJUSTADO(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO LEGAL(EM US$ MILHÕES),RENTABILIDADE AJUSTADA(EM %),RENTABILIDADE LEGAL(EM %),RENTABILIDADE SOBRE VENDAS(EM %),CAPITAL CIRCUL. LÍQUIDO(EM US$ MILHÕES),LIQUIDEZ GERAL(EM NO. ÍNDICE),ENDIVIDAMENTO GERAL(EM %),ENDIVIDAMENTO LONGO PRAZO(EM %),RIQUEZA CRIADA(EM US$ MILHÕES),NO. DE EMPREG.,RIQUEZA CRIADA POR EMPREG.(EM US$ MIL),SALÁRIOS E ENCARGOS(EM US$ MILHÕES),TRIBUTOS(EM US$ MILHÕES),EBITDA(EM US$ MILHÕES),EXPORTAÇÃO VALOR(EM US$ MILHÕES),EXPORTAÇÃO % DAS VENDAS,CONTROLE ACIONÁRIO,Ano
450,Hospital N.S. Conceição,Serviços de Saúde,1544.8,383.3,-0.8,119.5,82.3,-732.7,-736.1,NA,NA,31.2,-694.4,0.1,605.5,101.7,547.3,8695,59.9,NA,75.2,146.4,NA,NA,Estatal,2016
158,Amazonas Energia,Energia,4773.2,1184.2,-3.7,362.8,313.5,-576.6,-578.4,NA,NA,30.6,112.8,0.7,124.4,103.8,770.7,NA,NA,NA,221.7,535.1,NA,NA,Brasileiro,2019
310,Andrade Gutierrez,Indústria da Construção,2334.9,579.3,-36.5,158.7,170.4,380.4,376.4,NA,NA,27.4,NA,NA,69.7,49.3,NA,NA,NA,NA,NA,117.3,NA,NA,Brasileiro,2016
218,Eldorado Brasil,Papel e Celulose,3483.4,864.2,15.9,220.3,191.5,580.3,543.2,NA,NA,25.5,-1360.3,0.4,80,13.6,587.8,3801,137.2,NA,55.1,495,NA,NA,Brasileiro,2017
212,Eldorado Brasil,Papel e Celulose,3654.9,906.8,29,199.7,82.4,461.5,321.5,NA,NA,22,97,0.4,86.4,63.7,648.5,NA,NA,NA,-44.3,477.2,NA,NA,Brasileiro,2015
159,Eldorado Brasil,Papel e Celulose,4651.4,1154,33.5,243.1,211.1,790.4,744.6,NA,NA,21.1,-1052.8,0.5,72,14.5,845,3658,238.3,NA,110.9,739.9,NA,NA,Brasileiro,2018
203,PB-LOG,Transporte,3659,907.8,-30.8,189.9,211.9,1056.3,1056.3,NA,NA,20.9,NA,NA,18.2,0.8,358.1,0,NA,0,249,212.8,NA,NA,Estatal,2017
488,Telmex,Telecomunicações,1545.3,383.4,NA,73.7,75.7,97.1,97.1,NA,NA,19.2,85.6,1.3,79.3,18.2,NA,NA,NA,NA,NA,113.3,NA,NA,Mexicano,2018
365,Equatorial Energia Alagoas,Energia,2223.9,551.7,2.2,92.5,86,-71.1,-72.3,NA,NA,16.8,94.9,0.6,108.4,90.7,374.5,770,364.3,22.1,182.7,145.4,NA,NA,Brasileiro,2019
198,Rumo Malha Norte,Transporte,3705.3,919.3,25.6,141.6,133.3,891.3,866.6,NA,NA,15.4,NA,NA,72.2,59,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
307,Amazonas GT,Energia,2703.1,670.6,234.2,99.6,76.7,-13.9,-34,NA,NA,14.9,-52.2,0.4,101.2,73.4,560.3,395,1332.4,31.8,302.4,239,NA,NA,Estatal,2019
63,Marfrig,Produção Agropecuária,10030.9,2488.6,20.1,365.6,361.1,194.6,174.3,NA,NA,14.7,-160.1,0.3,96.5,75.5,78.6,17927,4.5,224.6,442.5,-272.1,1201.8,48.3,Brasileiro,2018
18,Samsung,Eletroeletrônico,20736.9,5144.7,2.1,717,788.7,2746.8,2736.6,NA,NA,13.9,2281.9,3.1,30.2,2.9,3116.6,8282,NA,204.1,921.8,914.5,47.4,0.9,Coreano,2016
344,Record,Comunicações,2119.5,525.9,-14.2,70.5,62.8,55.7,48.4,NA,NA,13.4,-35.2,0.5,87.4,50.1,NA,NA,NA,NA,NA,34.5,NA,NA,Brasileiro,2016
458,Berneck,Indústria da Construção,1596.7,396.1,7,51.5,52.4,377.8,371.9,NA,NA,13,121.6,0.7,47.8,34.7,110.1,1793,62.3,31,68.5,85,155.2,39.2,Brasileiro,2017
481,Empresa de Navegação Elcano,Transporte,1417.7,351.7,19,44.8,40.4,56.4,51.2,NA,NA,12.7,37.7,0.7,79.1,58.3,NA,NA,NA,NA,NA,46.9,NA,NA,Espanhol,2016
7,Braskem,Química e Petroquímica,40082.7,9944.4,0.1,1178.2,1096.2,1851,1749.9,NA,NA,11.8,1978.7,0.5,82.2,71.3,2530.2,7713,329.3,371.3,957.3,1902.7,2470.6,24.8,Brasileiro,2017
7,Braskem,Química e Petroquímica,41410.8,10273.8,14,1203.8,922.5,1028.3,608.5,NA,NA,11.7,-1577.4,0.5,92.6,54,2255.6,5744,382.5,377.4,706.2,2165,2818.4,27.4,Brasileiro,2015
458,Andrade Gutierrez,Indústria da Construção,1731,429.5,323.6,41.9,40.2,-20,-21,NA,NA,9.8,-16.9,0.5,102,71.9,165,11347,22,153.3,1.8,77.5,NA,NA,Brasileiro,2019
364,GRU Airport,Infraestrutura,2146.6,532.6,10.7,52.1,-48.7,-139.6,-237.8,NA,NA,9.8,-299.6,0.1,103.2,91.3,275.2,912,270.9,28.4,10.4,359.8,NA,NA,Brasileiro,2018
229,Novartis,Farmacêutico,3280.6,813.9,-4.2,69,70.7,133.7,132.6,NA,NA,8.5,157.5,1.2,79,30.9,378.7,1779,206.5,119.6,182.3,131.5,36.2,4.5,Suíço,2017
194,Roche,Farmacêutico,3968.6,984.6,4.4,83.2,93.6,507.2,505.3,NA,NA,8.4,373.2,3,29.3,2,234,1139,202.8,87.7,53.2,135.2,44.9,4.6,Suíço,2018
363,Gtfoods Group,Bens de Consumo,2235.1,554.5,11,46.6,44.2,110.6,106.4,NA,NA,8.4,91.2,0.7,70.4,48.5,157,9120,17.3,65.6,17.4,66.4,133.3,24,Brasileiro,2019
117,Unimed Rio,Serviços de Saúde,6279.8,1558,-1.5,126,103.9,-214.9,-216.4,NA,NA,8.1,-396.8,0.6,138.5,42.9,209.2,1804,121.6,NA,-93.3,36.9,NA,NA,Brasileiro,2015
236,Albras,Siderurgia e Metalurgia,3241.6,804.2,8.6,62.5,68.3,568.4,562.4,NA,NA,7.8,148.6,2.6,23.3,3.6,149.4,1188,126.4,NA,61.6,123.3,NA,NA,Norueguês,2017
8,Braskem,Química e Petroquímica,44380.3,11010.6,10.7,820.3,741.9,1879.1,1756.6,NA,NA,7.5,449.4,0.4,83.2,57.1,2419.4,8008,307.8,391.2,1124,1481.9,2686.3,24.4,Brasileiro,2018
491,Copebrás,Mineração,1476.1,366.2,-19.3,25.8,26.9,238.2,235,NA,NA,7,118.7,1.6,34.5,23.4,186.4,995,158.2,83.1,46.9,55.8,NA,NA,Chinês,2017
42,CRBS,Bens de Consumo,13616,3378.1,-20,229.1,236.5,413.4,413.1,NA,NA,6.8,331.8,1.5,68.1,34.2,2143.8,6365,256.5,108.5,1744.8,296.6,NA,NA,Belga,2018
464,Clime,Energia,1634.2,405.4,NA,27.5,27.5,41.2,41.1,NA,NA,6.8,35.1,1.5,67.8,2.7,44.6,28,1681.3,0.3,0,49.5,NA,NA,Brasileiro,2018
329,Equatorial Piaui,Energia,2483.8,616.2,14.3,36.2,23.1,-209.9,-216.9,NA,NA,5.9,23,0.7,123,91.5,374.5,1186,235.2,NA,265.8,88.3,NA,NA,Brasileiro,2019
273,Matrix Energy,Energia,2978.5,739,60.2,42.5,43,53.6,53.6,NA,NA,5.8,15.5,1.2,85.8,39,82.2,34,2650.1,2.2,36.8,67.8,NA,NA,Luxemburguês,2019
137,Armazém Mateus,Varejo,4810.8,1193.5,23.6,66.5,72.9,272.1,270.3,NA,NA,5.6,169,2,44.3,8.9,NA,5008,NA,NA,NA,86.9,NA,NA,Brasileiro,2016
294,Serpro,Indústria Digital,2618.1,649.5,7.6,34.4,33.1,174.6,170.9,NA,NA,5.3,0.4,1,82,61.9,656.8,7107,90.8,363.3,183.5,46.8,NA,NA,Estatal,2017
24,Correios,Serviços,19048.1,4725.8,-5.3,222.8,179.2,-310.1,-347.6,NA,NA,4.7,-352.6,0.4,109.4,72.4,4126.1,107989,36.9,2685.7,730.1,288.6,NA,NA,Estatal,2017
139,Celg D,Energia,4712.6,1169.2,-16.4,53.6,19.7,-225.4,-248.6,NA,NA,4.6,-367.3,0.4,118.5,59.2,1144.9,2037,554.2,87.5,1064.4,22.5,NA,NA,Italiano,2016
420,Giassi Supermercado,Varejo,1769.1,438.9,-0.2,19,19.8,81.6,81,NA,NA,4.3,52.5,1.8,43.7,4.1,108.9,5573,19.9,46.2,39.6,25.2,NA,NA,Brasileiro,2017
21,CRBS,Bens de Consumo,21146.5,5246.4,3.5,213.2,228.2,509.3,495.6,NA,NA,4.1,215.5,1.2,68.7,1.4,2262.7,11052,212.4,138.4,1870.9,330,NA,NA,Belga,2015
164,Glencore,Atacado,4042.8,1003,NA,39,38,37.1,36.1,NA,NA,3.9,21.7,1.1,71.2,11.8,NA,NA,NA,NA,NA,48.2,NA,NA,Suíço,2016
394,Rumo Malha Paulista,Transporte,2082.8,516.7,5.3,18.4,-8.6,-40.7,-65.8,NA,NA,3.6,-203.3,0.4,102.7,82,149,1361,111.4,29.8,57.8,170.1,NA,NA,Brasileiro,2019
24,CRBS,Bens de Consumo,17602.2,4367,-16.8,153.8,164.2,794.6,780,NA,NA,3.5,277.9,1.5,40.2,2.1,2582.4,10727,237.2,151.5,2227.8,253.2,NA,NA,Belga,2016
401,Garoto,Bens de Consumo,1838.3,456.1,-9.6,15.7,10.5,17.5,12.1,NA,NA,3.4,-30.6,0.8,95,23.3,NA,NA,NA,NA,NA,47.7,NA,NA,Suíço,2015
376,Comlurb,Infraestrutura,2162.3,536.5,4.8,17.3,14.7,-67.3,-67.6,NA,NA,3.2,-34.3,0.5,165.6,42.8,-414.5,19366,-21.3,365,5.7,15.8,NA,NA,Estatal,2019
91,Transpetro,Transporte,7016.2,1740.7,-6.2,50.4,32.5,1175.4,1134.8,NA,NA,2.9,NA,NA,65.6,52.8,1306.9,6363,204.2,504.6,401.2,280.2,NA,NA,Estatal,2017
65,Marfrig,Produção Agropecuária,9913.8,2459.6,-1.2,69.9,54.1,177.8,153.5,NA,NA,2.8,-51.4,0.7,97,75.6,310.9,17135,17.7,215.9,-58.8,71.3,1154.7,46.9,Brasileiro,2019
490,Santher,Papel e Celulose,1597.6,396.4,1.7,10.3,7.4,12,9,NA,NA,2.6,-16.1,0.6,96,54.3,182,NA,NA,NA,115.5,44.4,NA,NA,Japonês,2019
493,Clealco,Energia,1375,341.1,11.2,8.6,-12.7,12.8,-9.9,NA,NA,2.5,-127.5,0.3,97.9,67.8,94.5,3809,25.6,42.5,19.4,74,196.1,57.5,Brasileiro,2016
157,Unimed Rio,Serviços de Saúde,4678.5,1160.7,3.2,29,22,-244.3,-244.4,NA,NA,2.5,-291.5,0.5,151.6,66.9,166.2,1125,130.1,33.2,31.8,23.1,NA,NA,Brasileiro,2018
262,Biosev Bioenergia,Energia,2938.6,729,-2.1,17.8,-3.9,-206.3,-225.5,NA,NA,2.4,77.1,0.4,114.1,86,NA,NA,NA,NA,NA,182.7,NA,NA,Francês,2015
359,Equatorial Energia Alagoas,Energia,2175.3,539.7,13.6,12.7,5.7,-266.5,-266.8,NA,NA,2.3,-112.5,0.7,134.2,90.9,345.6,1286,280,33.1,280.2,59.1,NA,NA,Brasileiro,2018
456,Frigol,Bens de Consumo,1599.3,396.8,7.6,8.6,6.7,0.5,-1,NA,NA,2.2,9.1,0.7,99.4,42.1,58,1919,30.2,22.8,12.2,30.9,58.3,14.7,Brasileiro,2015
113,Unimed Rio,Serviços de Saúde,5777.2,1433.3,-8,31.7,18.5,-275.6,-276.3,NA,NA,2.2,-373.3,0.5,154.7,58,190.5,1517,114.7,34.4,-24.2,-1.4,NA,NA,Brasileiro,2016
156,Unimed Rio,Serviços de Saúde,4808.5,1193,2.8,23.7,16.9,-235.1,-235.2,NA,NA,2,-288.4,0.5,165.9,49,127.1,1083,115.1,30,15.9,18,NA,NA,Brasileiro,2019
316,Petrovia,Transporte,2465.3,611.6,32.6,11.2,12,54.2,54.2,NA,NA,1.8,50.8,2.9,33.8,0.3,NA,NA,NA,NA,NA,16.9,NA,NA,Brasileiro,2017
29,Correios,Serviços,18764.8,4655.5,-2.6,80.2,25.3,86,39.6,NA,NA,1.7,-312.7,0.4,97.6,65.4,3404.2,99467,33.2,2207.7,582.4,167.5,NA,NA,Estatal,2019
128,Unimed Rio,Serviços de Saúde,5318.4,1319.5,-7.9,22,16.4,-237.7,-238,NA,NA,1.7,-329.7,0.5,152.5,60.2,167.6,1430,113.7,32.3,38.9,25.3,NA,NA,Brasileiro,2017
488,Frigol,Bens de Consumo,1398.5,347,-12.6,5.5,4.6,4.6,3.6,NA,NA,1.6,4.5,0.7,94.8,38.1,47.9,1994,24.5,28.6,13,21,71,20.5,Brasileiro,2016
407,Comercial Carvalho,Varejo,1748.7,433.8,-7.9,7.1,3.2,-37.4,-39.6,NA,NA,1.6,-7.1,0.6,123.5,49.1,114.1,5663,19.3,36.6,52.2,NA,NA,NA,Brasileiro,2016
196,Bianchini,Bens de Consumo,3824.2,948.8,18.7,13.3,14.9,128.2,121.6,NA,NA,1.4,58.2,1.1,57.4,20.3,NA,NA,NA,NA,NA,55.6,NA,NA,Brasileiro,2015
343,Comlurb,Infraestrutura,2122.9,526.7,1.6,6.4,2.6,-82.9,-83.2,NA,NA,1.2,-31.4,0.4,218.4,81,NA,NA,NA,NA,NA,4.7,NA,NA,Estatal,2016
53,Gol,Transporte,10497.7,2604.4,1.7,32.5,-7.7,-669.8,-696.2,NA,NA,1.2,-1031.4,0.3,132.2,62.7,975.3,14808,65.7,363.6,71.9,238.1,417.3,16,Brasileiro,2017
451,Comercial Carvalho,Varejo,1629,404.2,-6.8,4.3,2.7,-35.2,-36.1,NA,NA,1.1,17.8,0.6,122.1,60.4,150.5,5585,26.8,36.4,71.2,NA,NA,NA,Brasileiro,2017
275,Redeflex,Varejo,2741.5,680.2,12.5,6.5,6,9.9,9.1,NA,NA,1,0.6,1,82.3,3.9,33.2,901,45.4,12.5,10.6,12.9,NA,NA,Brasileiro,2015
26,Correios,Serviços,19270.4,4780.9,1.2,48.2,-1.5,-310.6,-353.6,NA,NA,1,-246.9,0.4,109.9,72.2,3403.6,105349,31.9,2287.4,621.5,90.5,NA,NA,Estatal,2018
74,Minerva Foods,Produção Agropecuária,8855,2196.9,6,20.2,4,-54.8,-69.9,NA,NA,0.9,305.5,0.6,101.6,67.4,128.1,18469,7.1,47.4,-50.5,251.8,1499,68.2,Brasileiro,2019
64,Cofco Brasil,Atacado,9132.1,2265.6,14.8,20,-13.5,-247.2,-277.5,NA,NA,0.9,-297.7,0.4,108.1,62.3,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2017
143,Hospital São Paulo,Serviços de Saúde,5268.3,1307,9.8,8.9,5.6,-17.4,-20,NA,NA,0.7,32.3,1,100.7,50.7,1136.6,52489,23.2,NA,1.5,7.8,NA,NA,Brasileiro,2019
161,Hospital São Paulo,Serviços de Saúde,4403.8,1092.6,4,3.6,-3.7,3.4,-3.8,NA,NA,0.3,20.3,1,99.8,45.5,1003.9,44018,23.2,709.9,2.2,-2.9,NA,NA,Brasileiro,2015
369,Comlurb,Infraestrutura,2082.4,516.6,-1.9,0.8,-0.9,-79.8,-79.9,NA,NA,0.2,-13.2,0.5,185.2,76,NA,NA,NA,NA,NA,1.8,NA,NA,Estatal,2017
365,Comlurb,Infraestrutura,2088.9,518.2,2.7,0.7,-5.8,-91,-91.5,NA,NA,0.1,-53.3,0.4,236,66.2,NA,NA,NA,NA,NA,NA,NA,NA,Estatal,2015
498,Santher,Papel e Celulose,1453.1,360.5,-8.5,0,-2.2,0.2,-2.2,NA,NA,0,-149.9,0.5,99.9,5.8,179.6,1688,91.8,NA,101.6,37.6,NA,NA,Brasileiro,2017
331,FUABC- Organização Social de Saúde,Serviços de Saúde,2422.4,601,-2.8,-0.6,-1.9,-26,-26.7,NA,NA,-0.1,-52.4,0.7,119.2,5.8,NA,NA,NA,NA,NA,-1,NA,NA,Brasileiro,2018
149,Hospital São Paulo,Serviços de Saúde,4785.2,1187.2,4.1,-3.1,-5.2,-18,-19.9,NA,NA,-0.3,-48.8,1,100.7,46.6,853.8,45228,18.9,761.8,1.6,0.8,NA,NA,Brasileiro,2017
142,Hospital São Paulo,Serviços de Saúde,4596.7,1140.4,3.6,-3.7,-7.9,-10.5,-14.9,NA,NA,-0.3,-65.9,1,100.4,53.8,805.6,45226,18.1,725.7,1.8,0.1,NA,NA,Brasileiro,2016
151,Hospital São Paulo,Serviços de Saúde,4798.1,1190.4,0.3,-6.7,-9.4,-25.3,-27.6,NA,NA,-0.6,21.1,1,101.2,40.6,825,45642,18.2,NA,2.1,-1.6,NA,NA,Brasileiro,2018
296,CDPC-Centro Distrib. Prod. Cobre,Atacado,2600.3,645.1,-25.4,-3.8,-3.6,-0.8,-0.8,NA,NA,-0.6,-8.9,1,101.6,0,3.2,10,396.2,0.1,0,0.3,NA,NA,Brasileiro,2015
377,Comlurb,Infraestrutura,2064.1,512.1,-0.9,-4.2,-6.2,-84.4,-84.5,NA,NA,-0.8,-54,0.5,195,46.2,NA,19556,NA,364.9,NA,NA,NA,NA,Estatal,2018
223,CEEE,Energia,3381.1,838.8,7.5,-6.8,-23.5,-322.2,-333,NA,NA,-0.8,-271.7,0.4,130.9,73.6,695.5,2399,283.2,96.9,525.7,19.5,NA,NA,Estatal,2017
401,"Garoto3,6,Vila Velha,ES",Bens de Consumo,1769.1,438.9,-3.8,-4,-6.3,-6.9,-9.9,NA,NA,-0.9,-41.9,0.8,102.1,27.4,NA,NA,NA,NA,NA,25.2,NA,NA,Suíço,2016
497,Hospital N.S. Conceição,Serviços de Saúde,1558.7,386.7,2.3,-3.6,-9.6,-130.2,-132.5,NA,NA,-0.9,-118.2,0.2,205,91.9,321.6,NA,NA,NA,0.1,-5.3,NA,NA,Estatal,2019
397,ALL Malha Paulista,Transporte,1783.7,442.5,-2.7,-3.8,-39.1,22.7,-15.6,-16.8,NA,-0.9,-629.4,0.4,98.6,49.4,NA,NA,NA,NA,NA,123.2,NA,NA,Brasileiro,2016
429,Moove,Atacado,1734.2,430.3,2.9,-5.6,-9.7,2.4,-2.1,NA,NA,-1.3,-125.4,0.5,99.5,46.1,NA,NA,NA,NA,NA,38.6,NA,NA,Brasileiro,2017
361,Cepisa,Energia,2172.6,539,16.1,-10.1,-18.3,-219.7,-220.7,NA,NA,-1.9,-25.9,0.6,123.6,75.8,322.8,1999,159.2,83.4,283.1,-37.3,NA,NA,Brasileiro,2018
353,Glencore,Atacado,2181.4,541.2,NA,-11.9,-13.1,0,-2,NA,NA,-2.2,12.4,0.9,100,26.3,NA,NA,NA,NA,NA,10.3,NA,NA,Suíço,2015
396,Rumo Malha Paulista,Transporte,1978.1,490.8,14.5,-12.1,-34.9,-70.2,-92,NA,NA,-2.5,-175.6,0.4,104.7,84.8,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2018
311,FUABC- Organização Social de Saúde,Serviços de Saúde,2492.3,618.3,-2.3,-16.2,-16.9,-25,-25.6,NA,NA,-2.6,-48.4,0.7,118.4,7.9,NA,NA,NA,NA,NA,-14.7,NA,NA,Brasileiro,2017
221,Biosev Bioenergia,Energia,3228.1,800.9,9.9,-21.4,-54.3,-247.2,-268.4,NA,NA,-2.7,-31.3,0.4,115.7,87.6,NA,NA,NA,NA,NA,208,NA,NA,Francês,2016
345,Fundação do ABC,Serviços de Saúde,2361.8,586,-2.5,-17.5,-19,-148.8,-149.6,NA,NA,-3,-171,0.2,338.3,17.8,NA,NA,NA,NA,NA,-17.7,NA,NA,Brasileiro,2019
315,Greenergy Brasil,Atacado,2546.3,631.7,-10.4,-24.6,-24.3,-22.9,-22.9,NA,NA,-3.9,-23.1,0.6,174.8,0,NA,NA,NA,NA,NA,-23.5,NA,NA,Inglês,2018
126,Cnova,Varejo,5357.9,1329.3,4.5,-55.1,-58.6,-97.3,-98.4,NA,NA,-4.1,-270.9,0.9,111,3.5,NA,1867,NA,31.3,NA,-20.6,NA,NA,Francês,2017
190,Biosev Bioenergia,Energia,3798.1,942.3,17.7,-45.2,-62.3,-284.2,-292.6,NA,NA,-4.8,-106.9,0.5,121.3,77.5,NA,NA,NA,NA,NA,189.1,NA,NA,Francês,2017
111,Thyssenkrupp CSA,Siderurgia e Metalurgia,5794.5,1437.6,-14.9,-86,-242.8,-776.9,-894.7,NA,NA,-6,-243.9,0.3,128.5,92.9,NA,NA,NA,NA,NA,-5.4,NA,NA,Ítalo-Argentino,2016
431,Rumo Malha Paulista,Transporte,1728.1,428.7,-3.1,-26.8,-44.1,-41.5,-59.2,NA,NA,-6.3,-126.1,0.4,102.7,83,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
469,Hospital N.S. Conceição,Serviços de Saúde,1556.5,386.2,1.5,-28.1,-88.9,-865.8,-871.4,NA,NA,-7.3,-800,0.1,741.8,120.6,330.3,9575,35.7,359.6,41.5,-81.9,NA,NA,Brasileiro,2015
450,Garoto,Bens de Consumo,1630.5,404.5,-7.8,-30.7,-32.1,-40.4,-41.7,NA,NA,-7.6,-70.3,0.7,112.2,31.1,NA,NA,NA,NA,NA,-18.8,NA,NA,Suíço,2017
406,Tecsis,Bens de Capital,1825.3,452.8,6.7,-38.5,-39.9,-24,-26.6,NA,NA,-8.5,-86.5,0.8,107,49.5,NA,NA,NA,NA,NA,25.6,NA,NA,Brasileiro,2015
202,Embrapa,Diversos,3673.2,911.3,2.6,-91.5,-103.6,-508.4,-514,NA,NA,-10,-16,0.1,237.6,219,NA,NA,NA,NA,NA,-38.3,NA,NA,Estatal,2017
399,Eletrobrás Distribuição Piauí,Energia,1871.4,464.3,21.8,-47,-53.5,-387.7,-387.8,NA,NA,-10.1,-114.1,0.6,162.7,96.6,263.2,2056,131.8,59.8,153.8,-48.6,NA,NA,Estatal,2017
86,Minerva Foods,Produção Agropecuária,7784.9,1931.4,6.3,-219.1,-235.2,-84.8,-112.8,NA,NA,-11.3,381.9,0.6,103.3,74.8,141.5,12954,10.4,118.8,4.9,247.8,1300.8,67.3,Brasileiro,2015
466,Abril,Comunicações,1565.3,388.4,-29.5,-46.1,-61.3,-65.3,-75.6,NA,NA,-11.9,-170.1,0.5,113.9,52.3,NA,NA,NA,NA,NA,-2.4,NA,NA,Brasileiro,2015
249,Eletronuclear,Energia,3082.6,764.8,6.3,-93.4,-145.8,-1351.4,-1382,NA,NA,-12.2,-95.6,0.2,156,137.8,268.1,1780,143.2,159.5,165.4,21.5,NA,NA,Estatal,2017
108,Thyssenkrupp CSA,Siderurgia e Metalurgia,6812,1690,-7.3,-210.7,-307.7,-754.9,-843.7,NA,NA,-12.5,194.1,0.3,121.7,97.2,NA,NA,NA,NA,NA,120.7,NA,NA,Alemão,2015
202,Embrapa,Diversos,3471.9,861.4,-1.9,-113.6,-134.9,-344.2,-356.3,NA,NA,-13.2,46.6,0.2,171.3,155.3,NA,NA,NA,NA,NA,-53.9,NA,NA,Brasileiro,2016
173,CEEE,Energia,4186.1,1038.6,8.9,-145.1,-152.4,-166.5,-174.6,NA,NA,-14,-139.6,0.4,116.9,76.6,696.7,2697,254.2,119.1,689.7,-124.6,NA,NA,Estatal,2015
317,GRU Airport,Infraestrutura,2416.1,599.4,-39.5,-87.7,-403.2,283.6,-67.1,-30.9,NA,-14.6,-342.4,0.1,94.7,86.6,211.8,1608,126.6,NA,89.8,262.4,NA,NA,Brasileiro,2015
229,CEEE,Energia,3145.9,780.5,-28.7,-116.2,-145.7,-318.7,-341.6,NA,NA,-14.9,-287.7,0.3,132.1,79.7,643.3,2513,247,107.4,636,-104.5,NA,NA,Estatal,2016
77,Minerva Foods,Produção Agropecuária,8354.9,2072.8,16,-317.1,-327.3,-64.3,-77.9,NA,NA,-15.3,287.5,0.6,101.9,62.8,-28.4,NA,NA,NA,-127.8,115.7,1434.8,69.2,Brasileiro,2018
221,Biosev,Energia,3441.6,853.8,-5.6,-142.5,-164.3,-165.6,-185.6,NA,NA,-16.7,-14.8,0.4,112.1,77.1,194.8,NA,NA,NA,59.3,244.3,NA,NA,Francês,2017
436,Eletrobras Distribuição Alagoas,Energia,1691.4,419.6,-6.6,-73.4,-74.2,-72.1,-72.8,NA,NA,-17.5,-71.1,0.8,113.6,62.2,259,1084,246.7,32.4,259.2,-34.6,NA,NA,Estatal,2015
128,Cnova,Varejo,5129.4,1272.6,-33.4,-222.6,-233.5,-256.5,-259.1,NA,NA,-17.5,-371.9,0.5,158,7.9,NA,2226,NA,NA,NA,-123.5,NA,NA,Francês,2016
145,Amazonas Energia,Energia,4956.6,1229.7,27.2,-217.6,-302.3,-2615.1,-2623.7,NA,NA,-17.7,-1342.2,0.6,171.2,99.4,329.1,1679,194.4,NA,305,-28.4,NA,NA,Estatal,2018
383,GRU Airport,Infraestrutura,1939.9,481.3,-4.3,-85.6,-170.1,-110.5,-196.1,NA,NA,-17.8,-201.6,0.1,102.5,95.8,143.5,1120,113.2,36.5,-16.3,294.6,NA,NA,Brasileiro,2017
437,Netshoes,Varejo,1783.2,442.4,-4.2,-79.8,-78.1,38.6,37.5,NA,NA,-18,-4.9,0.9,85,26.6,NA,NA,NA,NA,NA,-40.7,NA,NA,Americano,2018
447,Enseada Naval,Bens de Capital,1652.9,410.1,-58.7,-75.7,-134.2,19.3,-47.5,-391.1,NA,-18.5,-587,0.4,98.9,54.3,144.4,2871,25.6,111.9,12.5,-37.4,410.1,100,Brasileiro,2015
360,GRU Airport,Infraestrutura,2261.6,561.1,4.2,-108,-216.9,-339.8,-444.9,NA,NA,-19.2,-400,0,108.7,95.4,245.5,892,272.2,31.3,138.5,334.5,NA,NA,Brasileiro,2019
199,Heringer,Química e Petroquímica,3910.8,970.3,-25.7,-199.6,-201.8,-157.6,-160.9,NA,NA,-20.6,-369.4,0.6,133,4.1,-28.2,1883,-11.7,NA,41.6,-38.9,NA,NA,Brasileiro,2018
220,Infraero,Infraestrutura,3232.1,801.9,-1.6,-170.3,-207.8,-1090.2,-1094.2,NA,NA,-21.2,130,0.2,199.3,176.2,1011.2,10980,87.2,461.3,155.8,249.7,NA,NA,Estatal,2016
127,Celg D,Energia,5636.9,1398.5,15.1,-295.8,-299.6,-273.9,-279.4,NA,NA,-21.2,-349.9,0.5,120.5,58.4,1232.5,2095,621.7,102.1,1167.2,6.4,NA,NA,Estatal,2015
355,GRU Airport,Infraestrutura,2027.2,502.9,-16.1,-107.8,-295.3,-61.8,-261.7,NA,NA,-21.4,-419.1,0.1,101.3,90.7,130.1,1415,86.1,37.1,8.1,271.9,NA,NA,Brasileiro,2016
130,CSP,Siderurgia e Metalurgia,5618.4,1393.9,-13.8,-319.8,-402.9,-174.3,-261.7,NA,NA,-22.9,-547.7,0.1,104.9,77,NA,NA,NA,NA,NA,58.2,1142.7,82,Brasilo-coreano,2019
111,CSP,Siderurgia e Metalurgia,6519.2,1617.4,64.9,-397.5,-464.4,81.3,1.2,NA,NA,-24.6,-279.4,0.2,97.9,72.9,NA,NA,NA,NA,NA,306.6,1438.8,89,Brasilo-coreano,2018
